student_name,profile_id,degree,start,end,position,advisor_name,advisor_id
"Garcés, Estela A.",1054546,PHD,2008,2012,"UNAM, Mexico","Miranda, Omar G.",997309
"Parada Valencia, Alexander",1384628,PHD,2008,2014,Santiago de Cali U.,"Miranda, Omar G.",997309
"Ayala-Torres, Marco Alberto",1768621,MASTER,2015,2017,"CINVESTAV, IPN","Montano Zetina, Luis Manuel",1066312
"Ayala-Torres, Marco Alberto",1768621,PHD,2018,2022,"CINVESTAV, IPN","Montano Zetina, Luis Manuel",1066312
"Velazquez, Mercedes Paulina",1059475,PHD,,2011,"CINVESTAV, IPN","Montesinos-Velasquez, Merced",996953
"Gallardo, Alejandro",1077558,PHD,,2011,"CINVESTAV, IPN","Montesinos-Velasquez, Merced",996953
"Celada, Mariano",1198359,PHD,,2016,"Mexico City U., Iztapalapa","Montesinos-Velasquez, Merced",996953
"Huet Hernandez, Idrish",1051979,PHD,,2008,Chiapas Autonoma U.,"O'Connor, Denjoe",995294
"Delgadillo-Blando, Rodrigo",1054031,PHD,,2008,"CINVESTAV, IPN","O'Connor, Denjoe",995294
"Fernández Téllez, Arturo",1010138,PHD,,1991,"Puebla U., Mexico","Perez-Angon, Miguel A.",1055658
"Martinez, Roberto Enrique",998583,PHD,1987,1989,"Colombia, U. Natl.","Perez-Angon, Miguel Angel",993776
"Tavares-Velasco,Gilberto",986490,PHD,1995,2001,"Santa Cruz U., DCET","Perez-Angon, Miguel Angel",993776
"García-Compeán, Hugo",1008900,PHD,,1994,"CINVESTAV, IPN","Plebansky, Jerzy",1062324
"García-Aguilar, J.D.",1317837,MASTER,2007,2009,"IPN, Mexico","Pérez-Lorenzana, Abdel",1025146
"Hernández Pinto, Roger Jose",1060821,PHD,2008,2012,Sinaloa U.,"Pérez-Lorenzana, Abdel",1025146
"García-Aguilar, J.D.",1317837,PHD,2010,2017,"IPN, Mexico","Pérez-Lorenzana, Abdel",1025146
"Venzor, Jorge",1794683,PHD,2014,2021,"CINVESTAV, IPN","Pérez-Lorenzana, Abdel",
"Miranda Hernández, Jesús Alejandro",1827003,MASTER,2016,2018,"CINVESTAV, IPN","Roig Garces, Pablo",1049577
"Miranda Hernández, Jesús Alejandro",1827003,PHD,2018,2022,"CINVESTAV, IPN","Roig Garces, Pablo",1049577
"Carrillo Moreno, Salvador",1064133,PHD,,2003,Iberoamericana U.,"Sanchez-Hernandez, Alberto",990458
"Podesta Lerma, Pedro Luis Manuel",1023554,PHD,2001,2005,"CINVESTAV, IPN","Sanchez-Hernandez, Alberto",990458
"Vazquez-Valencia, Elsa Fabiola",1050139,PHD,2005,,"CINVESTAV, IPN","Sanchez-Hernandez, Alberto",990458
"Ramírez-Zavaleta, Fernando Iguazú",1041968,PHD,,2007,"IFM-UMSNH, Michoacan","Tavares Velasco, Gilberto",986490
"Chavez Barajas, Carlos Alberto",1072910,MASTER,2000,2002,Asuncion Natl. U.,"Touramanis, Christos",985787
"Vazquez-Bello, Jose-Luis",984890,MASTER,1985,1988,"Rio de Janeiro, CBPF",Unkown,
"Cuautle, Eleazar F.",1012729,PHD,,1999,"CINVESTAV, IPN",Unkown,
"Segovia, Carlos",1653895,PHD,2007,2011,"UNAM, Mexico",Unkown,
"Martínez Huerta, Humberto",1073828,MASTER,2010,2012,"Andes U., Merida",Unkown,
"Cañas, Blanca Cecilia",1511976,MASTER,2010,2012,Pamplona U.,Unkown,
"Tostado, Sergio L.",1492460,MASTER,2010,2012,"Valle U., Cali",Unkown,
"Guevara, Adolfo",1508969,MASTER,2010,2012,"CINVESTAV, IPN",Unkown,
"Morales Salgado, Vicente Said",2036586,MASTER,2010,2012,"CINVESTAV, IPN",Unkown,
"Rabadán Trejo, Raúl Iraq",1277582,MASTER,2011,2013,"CINVESTAV, IPN",Unkown,
"Quintero, Nestor",1444460,PHD,,2014,Andres Bello Natl. U.,Unkown,
"Cañas, Blanca Cecilia",1511976,PHD,2012,2016,Pamplona U.,Unkown,
"Morales Salgado, Vicente Said",2036586,PHD,2012,2016,"CINVESTAV, IPN",Unkown,
"Martínez Huerta, Humberto",1073828,PHD,2012,2017,"Andes U., Merida",Unkown,
"Tostado, Sergio L.",1492460,PHD,2013,2017,"Valle U., Cali",Unkown,
"Guevara, Adolfo",1508969,PHD,2013,2017,"CINVESTAV, IPN",Unkown,
"Sanchez Garcia, Gonzalo",1954660,MASTER,2016,2018,"CINVESTAV, IPN",Unkown,
"Rabadán Trejo, Raúl Iraq",1277582,PHD,2014,2019,"CINVESTAV, IPN",Unkown,
"Flores Sandoval, Luis Jorge",1809577,PHD,2014,2019,"Unlisted, MX",Unkown,
"Chacón, Erick",1694392,PHD,2015,2019,"Mexico, ESFM",Unkown,
"Sanchez Garcia, Gonzalo",1954660,PHD,2018,,"CINVESTAV, IPN",Unkown,
"Contreras-Astorga, Alonso",1072712,PHD,2013,,"CINVESTAV, IPN",Unkown,
"Moreno, Gerardo",1021586,PHD,,,Centro Atomico Bariloche,Unkown,
"Martinez-Castro, Jesus",1065485,PHD,,,"CIC, IPN",Unkown,
"Amador Ceron, Eduardo Xavier",1069816,PHD,,,"CINVESTAV, IPN",Unkown,
"Amador Ceron, Eduardo Xavier",1069816,UNDERGRADUATE,,,"CINVESTAV, IPN",Unkown,
"Padilla Albores, Luis Enrique",1774079,PHD,2014,2020,"Mexico U., ICN","Vazquez, José Alberto",1061596
"Villasenor Cendejas, Luis Manuel",1021497,PHD,1981,1988,"IFM-UMSNH, Michoacan","Zepeda, Arnulfo",1013360
